name,x,y,z,rh
[KPS2012]_MWSC_3731,882.80811209016,-118.37988569946721,1368.6946481555294,4.09638353910079
[KPS2012]_MWSC_0107,1814.3591427482509,588.9375822045827,2935.6863635941854,2.8600876061289298
C_0149+568,529.7886619164002,282.1563630167888,926.2340950936584,2.4416700422997533
Ass_Cep_OB_5,958.871542334024,-246.79108055472872,1525.9162912363834,4.686853238430634
NGC_7423,2736.0060277333137,-795.4528747890574,4403.6632566506005,2.431053500403044
NGC_869,979.3599202858269,679.1783039053942,1844.668715426861,9.67112756083825
NGC_884,1031.4818257963952,738.0328611265256,1964.212603566719,4.3927959396498535
[KPR2005]_120,1001.5635944882196,-413.4965631000155,1681.0386546716622,8.414193215450268
Alicante_1,1143.4650635762307,1963.684141043407,3531.4066159307777,0.8488001927866501
NGC_7235,1392.932987445301,-707.1949816249711,2430.628801966924,2.1905714281078814
[KPS2012]_MWSC_0250,901.4670411382697,904.9035006516832,1990.1327131695314,1.851291450119032
[KPS2012]_MWSC_5012,-159.48507178606593,1330.8958669221668,2100.796206986029,3.207156305224554
IC_1396,339.5092902552342,-239.9858724629586,652.9709280271059,7.780098611422751
Berkeley_92,3107.047569502078,-2497.5947245525967,6264.214715567964,3.034549773134976
NGC_957,826.3990478610297,653.6582722535552,1657.2997844639913,2.9868839906439555
NGC_7055,798.173595877681,-672.3230105621196,1644.8722382946282,0.6273740555379589
[KPS2012]_MWSC_3594,556.1527925735002,-285.9259727701279,987.6747487954491,0.8118958365785349
[KPR2005]_6,632.5262869309385,320.1496799657412,1122.374282117687,2.5529541801211773
[KPR2005]_9,1108.2652376793671,986.4225283006951,2350.840609869661,6.712914710819369
NGC_7281,838.4598978264523,-368.77399136148273,1458.4349390467085,3.826026040147636
C_0027+577,784.7874248755074,104.57359253754004,1263.1934537120837,1.0111289845197635
Teutsch_74,1571.2138115532764,-1043.0425664125696,3029.4850245787347,1.4534036440794855
[KPS2012]_MWSC_0204,594.5906868696886,455.1472755710507,1202.9928813704935,1.1071306862434571
NGC_7261,1149.8034558116492,-534.7946174743414,2039.4933749644938,2.0961216078176546
Cl_King_2,2812.9373927741585,636.0382860244478,4649.159012449886,4.781634338702627
[KPS2012]_MWSC_0492,204.41263831976752,1037.506138604312,1705.826921364979,2.324974441111259
IC_361,541.1688545812392,1146.7158250986254,2049.2230545500925,1.9951899757782
NGC_457,1255.1563967198665,454.03819470166326,2159.295960604854,5.0023684836663405
[KPS2012]_MWSC_3641,1125.8353524047025,-439.9826893994251,1956.7600753042332,3.3952007711466003
C_2250+580,1305.8344693943136,-397.86338557558787,2209.3369519971375,2.687751410359928
C_0215+580,905.8953749128656,631.4443874924475,1788.212624054219,0.6134442393864633
[KPS2012]_MWSC_3652,1757.7896046687367,-621.3153029129425,3023.383369684487,1.6422438512611277
Juchert_9,1138.3595410341436,1882.619936155334,3574.835052479783,1.3561373140924358
C_2331+582,974.356532015374,-114.37438509353845,1598.9797531718307,1.3555208097167388
[KPS2012]_MWSC_3752,1039.4057413747503,-81.72695045891004,1704.3944409572252,0.8118958365785349
Cl_Czernik_14,858.9820733501772,997.320089003913,2157.3692956312,0.9007105024017381
[KPS2012]_MWSC_3675,2362.3474195044446,-687.0706142401436,4050.3542611243724,2.4172353316315482
Berkeley_66,2211.7623810636574,2292.7482023751013,5245.922736060584,3.3857312045403303
[KPR2004b]_4,235.0561284674878,10.645059754078517,387.6354869883664,1.591407019488522
[KPS2012]_MWSC_0196,952.4854472010915,715.5796556860425,1963.9058605845598,1.4392698921164937
C_0229+585,766.0129671606018,603.6591790239829,1608.105306664306,0.7505471923381829
[FSR2007]_0358,1185.3775599771507,-615.5354264193511,2205.0125122378254,3.4874616616668885
NGC_436,1441.0375108362075,496.21713970793326,2518.539210779569,1.6716592845231248
[KPS2012]_MWSC_3653,908.7391546828329,-319.5184919140594,1599.4259883068348,0.8843825636809793
[KPR2005]_7,896.0348162714688,512.6449040685408,1712.9847665294376,2.3618787973193744
Teutsch_125,752.6747254390032,-378.2926317841466,1398.6009911419144,1.132320789782285
[KPS2012]_MWSC_3610,2611.8639135870435,-1235.5520674276968,4808.70855693885,5.185062047240189
Berkeley_97,1005.378257428962,-368.8516379125415,1782.6371502140694,0.7778112258901324
C_0232+587,1073.9628327303474,870.5472976591013,2303.0163799791444,1.6442676736680597
C_0343+589,417.5222408879759,642.5349787640347,1278.8307187451987,3.4531016766636764
[KPS2012]_MWSC_3753,933.3044538079047,-66.96831600337035,1562.2096661952905,1.2178437548678025
Berkeley_95,1236.4379312710837,-522.7496412324667,2245.5705968262073,1.3645380591801606
Cl_King_10,1548.4743716714347,-451.3977648799591,2702.491610817347,1.4370736840584617
[KPS2012]_MWSC_0179,1905.5751368751417,1345.1321439422684,3910.9572489425855,1.4818055376056178
[KPS2012]_MWSC_0285,318.38318015468934,424.75381372419173,890.8340745174386,0.9041567270988228
[KPS2012]_MWSC_0003,1496.4054885916926,3.3734777330577046,2514.405542739803,0.7196349460582468
Berkeley_103,1767.2124326397025,-114.18758397960313,2982.1759062953624,1.5595815659638534
[FSR2007]_0486,939.8832264219807,83.95123836286854,1591.2484753387664,0.7749914803704196
NGC_6832,714.9832913061405,-1403.9908580000697,2663.950743502077,1.3470090015962055
[KPS2012]_MWSC_0292,669.6332969882096,959.7480746291493,1981.180426112256,1.4392698921164937
Cl_Stock_2,149.25720030332724,100.13038388814059,305.39348236971847,4.077975328095889
[BDS2003]_37,1115.169066048668,-303.50729420639686,1959.5678800418355,2.7124701812964687
IRAS_23151+5912,1447.6701917168566,-272.1229038772471,2498.0392593391907,1.3101046453880905
[KPR2005]_8,825.0814410727469,581.8512303087961,1727.0466152902356,2.694018003192411
[KPS2012]_MWSC_3686,1672.6037003710817,-440.51588780251006,2959.6883532802867,0.7637502675992551
[KPS2012]_MWSC_0024,2334.9894730475958,109.43458613912256,4005.857240605745,2.01128741334228
[KPS2012]_MWSC_3736,402.04657981345514,-50.73088710671332,695.5644648439633,0.4613044526014403
Teutsch_54,1938.8120877667855,-635.2749025280547,3502.805579958986,1.4026466110933673
[KPS2012]_MWSC_0086,1239.439112835141,291.7540400382412,2190.8505804129595,3.136870277689794
[KPS2012]_MWSC_3709,1072.748792586988,-218.4969443347801,1885.170844597254,0.9779654395150535
C_0229+596,835.1774799273512,661.7873946234669,1836.9843567555722,0.803617982789963
[KPS2012]_MWSC_3583,3071.2842110437505,-1700.39737997277,6056.059943987931,1.716052563677358
C_2237+596,1999.9415765110753,-732.0330107642626,3675.114572594138,1.5087995246497157
NGC_7429,601.4270063119092,-172.78779966284412,1082.09515864658,0.8303480146825926
NAME_Juchert-Saloranta_1,2509.8365960975557,178.93869107399436,4352.407605650714,2.1830509850517004
[KPS2012]_MWSC_3478,445.26433987413276,-401.621953776485,1037.132331904281,0.5351131650176707
C_0312+598,146.93834830883853,169.48078484144528,394.4867873146047,2.344971105124848
[KPS2012]_MWSC_3593,1506.2683985593933,-778.1368232378081,2945.990426974041,1.4761742483246092
NGC_7795,2444.1938676836785,-25.240941955579977,4247.950121179238,4.779114128950922
Kumar_21,1120.8141137742011,-544.5403020902003,2167.3143707741306,1.4023655359083786
NGC_433,941.2725524163776,320.3986506639122,1731.4623614795391,1.5276630567250955
C_0040+598,1774.0529286593014,343.29882519306017,3154.7534741935733,1.8604599474692967
NGC_743,476.145589566515,270.6422529313676,953.6132541363871,2.1675360540528463
C_0230+599,1133.8318493633344,901.3414356257396,2525.7520689476733,0.9837330846621072
NGC_129,822.8300414610376,109.8912868799738,1450.261651684017,3.8157762556639683
Skiff_J2330+60.2,1124.312872552071,-146.96068334810084,1984.435874484572,0.7964271127839062
[KPS2012]_MWSC_0270,615.2958941740154,735.4507883638266,1678.3956924717202,0.40594791828926746
Riddle_4,999.8458712021621,621.4295806572728,2060.5570431079777,1.1586629353435347
[KPS2012]_MWSC_0113,1189.9831453425782,426.0287887468205,2221.1553176127736,1.2687541040960637
Berkeley_2,2833.3517178668835,313.75600358412515,5016.45733915636,2.1212473006755816
Berkeley_65,963.3539675992052,801.7251616021377,2206.5133497817083,1.1173615598082176
IC_1848,695.6951673102502,645.4623636120417,1671.8442682438715,4.083359781908064
Teutsch_53,2483.460868249008,-1100.9505378494898,4784.593402692103,4.373166210661654
Mrk_50,1141.9939237285294,-225.99661063908982,2053.2622610243347,1.023817512783056
IRAS_02054+6011,1138.4156855568779,716.205096239028,2371.104381295625,5.443392540696998
Berkeley_1,3299.2061966885976,141.10428627686602,5830.957834020571,7.27414065513781
[BDS2003]_47,886.7746772063201,-26.899773283227223,1566.1759396897073,0.572017521225786
C_2306+602,956.8670485773812,-219.9780606841575,1737.0004848710394,1.5686496606255014
[KPS2012]_MWSC_3748,1076.6810406254801,-103.5587986176098,1915.0058084588034,0.7935396987782999
SAI_24,476.8745558806655,473.8214746161758,1191.3927434969887,1.2773103163416708
[KPS2012]_MWSC_0272,1554.0405285251056,1905.4419434759461,4354.796210587129,5.0928011567199025
NGC_7510,1088.357189697383,-235.96738659726296,1974.7062719235612,1.6099056868490365
NAME_SFO_12_IR_Stellar_Group,718.3499536070372,689.2740719727808,1766.821608951744,1.0148697957231687
[KPS2012]_MWSC_3568,513.3346054653031,-324.83025148960974,1079.8582733622864,1.8636699885098191
[KPS2012]_MWSC_5374,284.39721130313313,-800.1529171853645,1509.5355362901373,3.207156305224554
[KSP2003]_J024947.30+604210.1,4682.368695972372,4320.135055646997,11329.601073998498,2.4910440440477783
M_103,1039.1437129503774,448.36474510043064,2013.37167873638,1.6445854970743223
NGC_6939,456.2040194510156,-585.6612920383984,1320.3584006415272,2.295309688687016
NGC_659,985.2344731449925,482.8319795284998,1953.4816551381014,1.545986948453945
C_0225+604,290.43894950995946,222.30644735720472,649.8220477038932,1.1894105365785006
[KPS2012]_MWSC_0046,1506.9372669699428,184.47245684911297,2702.7966971419087,2.1958091943828557
[KPS2012]_MWSC_3783,2875.695017620802,-11.502015705083949,5123.0724052335645,2.8785397842329874
[KPS2012]_MWSC_0123,1266.0112141580166,522.781798266455,2442.1127732001723,2.1958091943828557
Ass_Cas_OB_2,1347.6357604751781,-238.43302668151006,2442.7499972113364,12.565933288863231
NAME_Lo_1,1132.901557540976,708.8322423500864,2386.2765793441,10.720715478457473
NGC_7419,954.2117891871876,-281.2198748124182,1780.986705112274,1.3269602079243463
[KPS2012]_MWSC_3607,1943.7181546183317,-941.0255341819034,3864.5516789693434,0.7196349460582468
[KPS2012]_MWSC_3711,574.111051197588,-113.63366251666324,1047.608653856892,0.8488001927866501
[KPS2012]_MWSC_3766,843.4966816433354,-31.72814986587197,1512.392367265443,0.4982088088095555
C_0037+605,1917.3477981183682,344.6974326737893,3493.5599466674025,4.723757594638749
NAME_PWM_3,2934.5004729840325,-677.7525542462408,5405.274251993989,3.4876437812724843
[KPS2012]_MWSC_3756,1121.6161420923374,-62.354616431485844,2018.4239229454984,1.2751563069167329
Berkeley_58,1599.9263732986954,1.7592116382018197,2878.8754191192097,2.1502665210911083
Berkeley_60,1784.7017503434224,138.57871679894515,3220.8886369403526,1.5357318339878576
Berkeley_6,1096.7416398579048,578.3196596967596,2242.424979176565,1.9224984676405168
NAME_Alessi-Teutsch_5,405.54035660685776,-213.6543807445127,830.4546335302497,2.666929789394648
[KPS2012]_MWSC_0178,1055.9416931225821,739.83618583502,2335.7768640977897,2.9523484966492184
NGC_189,510.5885228982178,88.97422540998768,938.4804852038319,9.419965969595669
C_0007+609,1583.0996413613557,70.58688026182705,2879.531718610068,2.6126338358719945
NGC_7790,1444.0628781416185,-9.753961590976113,2627.8868726255587,2.2493661313125903
[BDS2003]_44,1186.7350712629882,-205.42915159505876,2190.7667001096593,1.605339495053012
NGC_663,930.2915280760459,465.57101518492516,1893.2156091184156,3.983783585709046
[BDS2003]_48,3837.9485158997777,259.1215873230972,7014.485525844775,11.052854684330509
C_0132+610,1081.4506372404564,479.57171777847674,2159.299895297159,1.0488913406281473
[KPS2012]_MWSC_3710,1245.692493171616,-248.91392232561242,2318.8419678210853,2.2142613724869133
[KPS2012]_MWSC_0112,959.0999261919618,336.7931172003127,1854.6268444702057,2.1811114154119995
NGC_103,1367.99577225653,151.31815050290692,2516.645497090869,1.811393799775532
Cl_Czernik_5,1055.9572317298607,583.6212542030322,2208.608536502338,1.0333219738272263
C_2323+610,1184.441430136758,-177.63241694750104,2194.435057828092,1.6606960293651851
NGC_7788,1161.787969976806,-16.648577229855164,2130.64622954426,1.460601521548951
[BDS2003]_30,551.2063353570019,-272.8182705511946,1129.5868543676509,0.2765180872583338
IC_1805,710.2696623244557,559.1278681943681,1662.8421735685224,3.6596953258098512
Ass_Cas_OB_1,1384.099041015221,372.37896963275733,2635.4513366093465,3.207156305224554
Cl_Czernik_4,712.766692929521,315.91673670210037,1433.7308872036654,0.4982088088095555
[KPS2012]_MWSC_0025,2617.3637680805086,170.9776197331417,4825.167101675318,5.79398392467409
C_0005+611,1299.5702578032106,43.24742648585854,2392.445249721177,0.7149654481902135
NGC_7538,1308.775685953494,-268.55388025134675,2460.687915453503,2.2142613724869133
NGC_136,2009.7519208624926,278.73311717602576,3737.8656166960923,12.462400539522287
NGC_381,522.6924308326222,160.74127343632932,1010.7878710237851,1.0111553784828131
[KPR2005]_4,300.83795028657727,71.23058826494169,571.7715723633007,0.9964176176191112
NGC_1027,325.18343780545297,279.47484788130896,793.5376482171026,2.3488817635989903
Frolov_1,1083.5375010522152,-12.214063249699029,2006.0402041017155,0.4428522744973827
[KPS2012]_MWSC_3615,4302.454711819658,-2018.470207049175,8798.560193349575,4.1332878953089045
[FSR2007]_0584,764.3806294801896,571.9164708582937,1767.686285412789,1.4392698921164937
